name.firstName, name.lastName, age, address.line1, address.line2, address.city, address.state, gender
Bob,Miller,38,159 Maple St Apt. 75,,San Antonio,IL,female
Charlie,Smith,59,574 Maple St Apt. 66,,Philadelphia,NY,male
David,Wilson,53,630 Pine St Apt. 36,,New York,GA,male
Emily,Johnson,49,345 Main St Apt. 37,,Chicago,OH,male
Fiona,Rodriguez,18,690 Pine St ,,Chicago,GA,female
George,Garcia,48,184 Maple St ,,San Diego,IL,female
Henry,Jones,61,555 Maple St ,,Philadelphia,FL,male
Isabella,Jones,35,440 Main St Apt. 51,,Chicago,VA,female
Jack,Smith,18,521 Elm St Apt. 77,,San Antonio,CA,male
Alice,Brown,54,68 Main St ,,Phoenix,VA,female
Bob,Garcia,30,141 Pine St ,,New York,TX,male
Charlie,Smith,18,879 Main St ,,San Diego,OH,male
David,Rodriguez,64,10 Pine St ,,Los Angeles,FL,female
Emily,Davis,64,183 Oak St ,,San Diego,CA,male
Fiona,Garcia,44,363 Main St ,,Phoenix,FL,female
George,Garcia,40,265 Maple St ,,Chicago,NY,male
Henry,Rodriguez,32,886 Maple St Apt. 45,,Philadelphia,IL,male
Isabella,Jones,39,674 Elm St ,,Phoenix,NY,female
Jack,Smith,61,500 Elm St Apt. 53,,San Diego,NY,male
Alice,Garcia,20,791 Maple St Apt. 3,,Los Angeles,TX,female
Bob,Johnson,56,604 Maple St Apt. 98,,Philadelphia,NC,male
Charlie,Garcia,63,631 Pine St Apt. 95,,San Antonio,VA,male
David,Johnson,63,434 Oak St Apt. 57,,San Diego,IL,female
Emily,Wilson,61,350 Maple St Apt. 27,,Los Angeles,NC,female
Fiona,Williams,20,671 Maple St ,,Houston,NC,male
George,Miller,20,824 Main St ,,San Diego,OH,male
Henry,Garcia,63,54 Elm St ,,Dallas,FL,female
Isabella,Miller,22,160 Elm St Apt. 44,,Philadelphia,PA,female
Jack,Johnson,54,152 Main St ,,New York,NC,female
Alice,Wilson,30,12 Main St ,,San Jose,CA,male
Bob,Smith,55,726 Pine St ,,San Antonio,OH,male
Charlie,Brown,22,512 Elm St Apt. 79,,Los Angeles,NY,male
David,Davis,25,790 Main St ,,Chicago,CA,male
Emily,Garcia,34,32 Pine St Apt. 50,,San Antonio,NY,male
Fiona,Brown,62,981 Maple St ,,Chicago,TX,male
George,Miller,25,187 Pine St Apt. 8,,San Diego,GA,male
Henry,Rodriguez,27,946 Pine St ,,San Jose,FL,male
Isabella,Jones,64,442 Elm St ,,Dallas,NY,male
Jack,Davis,39,312 Main St ,,Phoenix,OH,male
Alice,Williams,37,473 Main St ,,San Diego,PA,male
Bob,Brown,43,405 Elm St Apt. 13,,San Antonio,VA,female
Charlie,Brown,41,573 Elm St ,,San Antonio,TX,female
David,Johnson,21,117 Oak St Apt. 70,,San Antonio,FL,female
Emily,Wilson,25,114 Oak St ,,Los Angeles,OH,male
Fiona,Davis,60,248 Oak St Apt. 40,,Los Angeles,IL,female
George,Smith,21,856 Elm St ,,Los Angeles,NC,female
